O H N O 0 0 B R O 0 0 T W O D 
G A M E 0 S L O B 0 B O O R S 
O T R O 0 C O L O 0 R O N D O 
O L D S C H O O L 0 O T T O S 
0 0 0 C O M P S 0 H O T 0 0 0 
H O H O H O 0 0 K O M O D O 0 
O R O 0 O S M O N D 0 O R R S 
S L O P S 0 O S O 0 S T O O L 
P O C O 0 M O T T S T 0 O N O 
0 P H O B O S 0 0 P R O L O G 
0 0 0 L O W 0 S T O O D 0 0 0 
S C O R N 0 S N O O P D O G G 
N O T O K 0 H O O K 0 L O O T 
O C H O S 0 O W L S 0 O P T O 
B O O M 0 0 O S S 0 0 T S O S 
