S P A T 0 I T C H 0 S A A S A 
H E S S 0 N E H I 0 C O P T O 
A R I A 0 H A I L 0 O A S I S 
Q U A R T E R P O U N E E R M 
0 0 0 0 H R S 0 0 S E A 0 0 0 
R E V E R E 0 F L U 0 D A T E 
B U E N O 0 B O A R 0 D U A L 
E E E E B L O O D P R E N C E 
O N E I 0 O R L Y 0 A P P I N 
R E E D 0 R E S 0 F I E S T A 
0 0 0 E O N 0 0 P A S 0 0 0 0 
F U L L M E T A L J A C K E T 
U S A I N 0 E S A I 0 R A R A 
D E N T I 0 L E S T 0 A M I S 
D R A Y S 0 L A M A 0 B A C K 
